#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_01_0 , BASE1 , 2000-01-01 , 12:00 , AIR1 , 2000-01-01 , 13:13
LEG_01_11 , BASE1 , 2000-01-01 , 15:24 , AIR9 , 2000-01-01 , 18:32
LEG_01_12 , BASE1 , 2000-01-01 , 18:30 , AIR9 , 2000-01-01 , 21:36
LEG_01_17 , BASE1 , 2000-01-01 , 22:01 , AIR10 , 2000-01-02 , 0:47
LEG_02_11 , BASE1 , 2000-01-02 , 15:24 , AIR9 , 2000-01-02 , 18:32
LEG_02_12 , BASE1 , 2000-01-02 , 18:30 , AIR9 , 2000-01-02 , 21:36
LEG_02_17 , BASE1 , 2000-01-02 , 22:01 , AIR10 , 2000-01-03 , 0:47
LEG_03_11 , BASE1 , 2000-01-03 , 15:24 , AIR9 , 2000-01-03 , 18:32
LEG_03_12 , BASE1 , 2000-01-03 , 18:30 , AIR9 , 2000-01-03 , 21:36
LEG_03_17 , BASE1 , 2000-01-03 , 22:01 , AIR10 , 2000-01-04 , 0:47
LEG_04_11 , BASE1 , 2000-01-04 , 15:24 , AIR9 , 2000-01-04 , 18:32
LEG_04_12 , BASE1 , 2000-01-04 , 18:30 , AIR9 , 2000-01-04 , 21:36
LEG_04_17 , BASE1 , 2000-01-04 , 22:01 , AIR10 , 2000-01-05 , 0:47
LEG_05_8 , BASE1 , 2000-01-05 , 15:24 , AIR9 , 2000-01-05 , 18:32
LEG_05_9 , BASE1 , 2000-01-05 , 18:30 , AIR9 , 2000-01-05 , 21:36
LEG_05_14 , BASE1 , 2000-01-05 , 22:01 , AIR10 , 2000-01-06 , 0:47
LEG_06_1 , BASE1 , 2000-01-06 , 12:18 , AIR16 , 2000-01-06 , 13:47
LEG_06_8 , BASE1 , 2000-01-06 , 15:24 , AIR9 , 2000-01-06 , 18:32
LEG_06_9 , BASE1 , 2000-01-06 , 18:30 , AIR9 , 2000-01-06 , 21:36
LEG_06_14 , BASE1 , 2000-01-06 , 22:01 , AIR10 , 2000-01-07 , 0:47
LEG_07_0 , BASE1 , 2000-01-07 , 12:00 , AIR1 , 2000-01-07 , 13:13
LEG_07_11 , BASE1 , 2000-01-07 , 15:24 , AIR9 , 2000-01-07 , 18:32
LEG_07_12 , BASE1 , 2000-01-07 , 18:30 , AIR9 , 2000-01-07 , 21:36
LEG_07_17 , BASE1 , 2000-01-07 , 22:01 , AIR10 , 2000-01-08 , 0:47
LEG_08_11 , BASE1 , 2000-01-08 , 15:24 , AIR9 , 2000-01-08 , 18:32
LEG_08_12 , BASE1 , 2000-01-08 , 18:30 , AIR9 , 2000-01-08 , 21:36
LEG_08_17 , BASE1 , 2000-01-08 , 22:01 , AIR10 , 2000-01-09 , 0:47
LEG_09_11 , BASE1 , 2000-01-09 , 15:24 , AIR9 , 2000-01-09 , 18:32
